Code,Lat_dd,Lon_dd,Alt_m,Time_dy,D_dd,IGRF_D_dd,I_dd,IGRF_I_dd,F_nT,IGRF_F_nT,H_nT,IGRF_H_nT,X_nT,IGRF_X_nT,Calculated_X,Y_nT,IGRF_Y_nT,Calculated_Y,Z_nT,IGRF_Z_nT,Calculated_Z,N_occupations,Closest_OBS,TTB_distances_km,VSS_distances_km,State,Region,RS_name,RMSE_D_Original_values,RMSE_I_Original_values,RMSE_F_Original_values,RMSE_H_Original_values,RMSE_X_Original_values,RMSE_X_Calculated_values,RMSE_Y_Original_values,RMSE_Y_Calculated_values,RMSE_Z_Original_values,RMSE_Z_Calculated_values
AC_CZS,-7.637,-72.670,182.464,1958.529,2.683,2.783,11.281,11.167,29671.000,29632.500,29097.000,29072.200,29065.000,29037.900,29065.847,1362.000,1412.500,1362.067,5804.000,5735.200,5804.269,6,TTB,2770.494,3511.151,AC,N,CRUZEIRO DO SUL ,0.178,0.204,50.308,36.257,37.605,37.680,83.892,84.130,105.801,106.271
AC_CZS,-7.637,-72.670,182.464,1965.848,1.824,1.917,11.277,10.917,29227.000,29132.900,28662.000,28605.300,28648.000,28589.200,28648.198,912.000,959.800,912.318,5715.000,5519.500,5715.412,6,TTB,2770.494,3511.151,AC,N,CRUZEIRO DO SUL ,0.178,0.204,50.308,36.257,37.605,37.680,83.892,84.130,105.801,106.271
AC_CZS,-7.620,-72.670,195.600,1978.640,-0.035,0.150,11.026,10.800,28359.000,28316.100,27835.000,27813.900,27835.000,27813.800,27835.502,-17.000,72.200,-17.004,5423.000,5309.100,5423.784,6,TTB,2770.044,3512.127,AC,N,CRUZEIRO DO SUL ,0.178,0.204,50.308,36.257,37.605,37.680,83.892,84.130,105.801,106.271
AC_CZS,-7.599,-72.770,196.508,1986.279,-1.343,-1.083,10.685,10.550,27886.000,27900.400,27402.000,27428.600,27394.000,27423.600,27394.968,-642.000,-520.700,-642.249,5170.000,5109.100,5170.325,6,TTB,2780.199,3522.772,AC,N,CRUZEIRO DO SUL ,0.178,0.204,50.308,36.257,37.605,37.680,83.892,84.130,105.801,106.271
AC_CZS,-7.599,-72.770,196.508,1989.503,-1.847,-1.633,10.468,10.317,27683.000,27712.700,27222.000,27264.300,27208.000,27253.200,27208.116,-877.000,-778.900,-877.391,5029.000,4965.300,5029.623,6,TTB,2780.199,3522.772,AC,N,CRUZEIRO DO SUL ,0.178,0.204,50.308,36.257,37.605,37.680,83.892,84.130,105.801,106.271
AC_CZS,-7.599,-72.770,196.508,1995.869,-2.901,-2.750,9.951,9.833,27342.000,27298.200,26930.000,26896.600,26896.000,26865.600,26896.152,-1362.000,-1290.600,-1362.971,4724.000,4665.100,4724.859,6,TTB,2780.199,3522.772,AC,N,CRUZEIRO DO SUL ,0.178,0.204,50.308,36.257,37.605,37.680,83.892,84.130,105.801,106.271
AC_RBC,-9.975,-67.800,136.500,1918.036,5.000,4.450,7.348,7.433,29543.000,29522.300,29300.000,29273.700,29188.000,29185.300,29188.886,2553.000,2273.900,2553.697,3778.000,3823.000,3778.418,10,TTB,2344.596,2918.717,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-9.980,-67.807,137.280,1952.307,1.266,0.783,8.366,8.150,28825.000,28755.000,28518.000,28464.900,28511.000,28462.200,28511.307,630.000,392.500,630.085,4193.000,4074.300,4193.921,10,TTB,2345.520,2919.085,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-9.992,-67.813,135.572,1952.317,1.248,0.800,7.933,8.117,28855.000,28751.000,28578.000,28462.600,28572.000,28459.800,28572.082,622.000,395.400,622.447,3982.000,4062.000,3982.423,10,TTB,2346.653,2918.956,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-9.980,-67.807,137.280,1958.536,0.483,0.083,8.133,7.783,28436.000,28360.600,28150.000,28099.800,28149.000,28099.800,28149.000,237.000,38.500,237.300,4022.000,3836.900,4022.881,10,TTB,2345.520,2919.085,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-9.980,-67.807,137.280,1966.317,-0.564,-0.983,7.881,7.317,27943.000,27833.500,27679.000,27606.900,27677.000,27602.900,27677.737,-272.000,-474.200,-272.459,3831.000,3544.500,3831.434,10,TTB,2345.520,2919.085,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-10.000,-67.817,134.120,1977.109,-2.088,-2.600,7.230,6.683,26997.000,27117.700,26782.000,26933.200,26764.000,26905.600,26764.563,-975.000,-1218.900,-975.799,3397.000,3158.000,3397.645,10,TTB,2347.408,2918.871,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-9.998,-67.833,140.710,1986.270,-3.759,-4.267,5.776,5.917,26746.000,26624.100,26610.000,26482.500,26552.000,26409.300,26552.961,-1744.000,-1967.100,-1744.562,2691.000,2742.100,2691.706,10,TTB,2348.928,2920.485,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-9.998,-67.833,140.710,1989.489,-4.333,-4.817,5.500,5.483,26472.000,26437.800,26350.000,26316.600,26274.000,26223.600,26274.814,-1990.000,-2211.200,-1990.833,2537.000,2528.100,2537.229,10,TTB,2348.928,2920.485,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-9.998,-67.833,140.710,1992.635,-5.144,-5.383,5.105,5.067,26305.000,26241.800,26200.000,26139.000,26095.000,26023.700,26095.133,-2349.000,-2451.900,-2349.129,2340.000,2321.200,2340.651,10,TTB,2348.928,2920.485,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AC_RBC,-9.996,-67.802,136.304,2002.927,-6.048,-7.167,3.676,3.667,25681.000,25602.500,25628.000,25550.100,25485.000,25350.200,25485.516,-2700.000,-3189.500,-2700.224,1646.000,1637.600,1646.519,10,TTB,2345.724,2917.695,AC,N,RIO BRANCO,0.560,0.291,86.356,86.354,94.392,94.667,259.678,259.546,141.101,141.442
AM_BAR,-0.970,-62.883,22.752,1913.609,0.666,0.333,23.517,24.017,32643.000,32925.200,29931.000,30073.100,29929.000,30072.600,29929.707,347.000,176.100,347.915,13025.000,13404.400,13025.247,6,TTB,1597.794,3163.001,AM,N,BARCELOS (AM),0.163,0.222,130.192,72.745,7435.109,72.709,91.531,83.793,184.312,168.085
AM_BAR,-0.970,-62.883,22.752,1924.088,-1.082,-1.233,25.000,25.133,32868.000,32954.800,29788.000,29833.700,29783.000,29826.800,29783.213,-562.000,-639.200,-562.507,13890.000,13999.100,13890.617,6,TTB,1597.794,3163.001,AM,N,BARCELOS (AM),0.163,0.222,130.192,72.745,7435.109,72.709,91.531,83.793,184.312,168.085
AM_BAR,-0.972,-62.900,23.320,1924.098,-1.067,-1.217,25.000,25.133,32854.000,32955.100,29775.000,29835.000,29770.000,29828.300,29770.673,-554.000,-634.000,-554.473,13884.000,13996.800,13884.700,6,TTB,1599.680,3164.039,AM,N,BARCELOS (AM),0.163,0.222,130.192,72.745,7435.109,72.709,91.531,83.793,184.312,168.085
AM_BAR,-0.970,-62.883,22.752,1932.109,-2.282,-2.267,25.666,25.583,32892.000,32940.200,29646.000,29709.700,29623.000,29686.500,29623.173,-1180.000,-1174.500,-1180.468,14246.000,14226.400,14246.324,6,TTB,1597.794,3163.001,AM,N,BARCELOS (AM),0.163,0.222,130.192,72.745,7435.109,72.709,91.531,83.793,184.312,168.085
AM_BAR,-0.982,-62.918,32.379,1984.729,-9.387,-9.417,20.666,20.717,29634.000,29642.100,27727.000,27724.600,27355.000,27350.500,27355.870,-4522.000,-4539.100,-4522.358,10458.000,10488.000,10458.422,6,TTB,1601.661,3164.465,AM,N,BARCELOS (AM),0.163,0.222,130.192,72.745,7435.109,72.709,91.531,83.793,184.312,168.085
AM_BAR,-0.980,-62.922,31.832,2005.861,-12.522,-12.567,16.575,16.583,28071.000,28027.200,26905.000,26862.500,8008.000,26219.400,26264.586,NaN,-5842.500,-5833.300,NaN,7995.500,8007.820,6,TTB,1602.109,3164.921,AM,N,BARCELOS (AM),0.163,0.222,130.192,72.745,7435.109,72.709,91.531,83.793,184.312,168.085
AM_BJC,-4.393,-70.017,77.500,1932.536,2.815,2.950,18.968,18.317,31903.000,31780.700,30170.000,30169.200,30134.000,30129.300,30134.269,1481.000,1550.200,1481.720,10369.000,9991.800,10369.752,8,TTB,2414.107,3472.301,AM,N,BENJAMIM CONSTANT,0.245,0.263,62.099,42.024,43.905,43.974,119.560,119.754,149.236,149.702
AM_BJC,-4.367,-70.005,64.242,1943.698,1.883,1.917,18.548,18.483,31686.000,31640.100,30039.000,30008.400,30023.000,29991.600,30023.928,987.000,1002.700,987.078,10079.000,10029.600,10079.285,8,TTB,2412.397,3473.013,AM,N,BENJAMIM CONSTANT,0.245,0.263,62.099,42.024,43.905,43.974,119.560,119.754,149.236,149.702
AM_BJC,-4.367,-70.050,73.160,1952.280,1.100,1.150,18.100,18.100,31270.000,31188.600,29722.000,29644.400,29717.000,29638.400,29717.149,570.000,597.900,570.598,9714.000,9692.200,9714.852,8,TTB,2417.341,3476.964,AM,N,BENJAMIM CONSTANT,0.245,0.263,62.099,42.024,43.905,43.974,119.560,119.754,149.236,149.702
AM_BJC,-4.367,-70.022,68.166,1952.578,1.031,1.117,18.166,18.100,31247.000,31167.700,29689.000,29625.000,29684.000,29619.400,29684.756,534.000,574.600,534.215,9741.000,9684.200,9741.913,8,TTB,2414.265,3474.505,AM,N,BENJAMIM CONSTANT,0.245,0.263,62.099,42.024,43.905,43.974,119.560,119.754,149.236,149.702
AM_BJC,-4.367,-70.050,73.160,1958.500,0.316,0.467,17.881,17.800,30787.000,30792.100,29299.000,29318.900,29299.000,29317.900,29299.428,161.000,241.200,161.595,9452.000,9410.700,9452.873,8,TTB,2417.341,3476.964,AM,N,BENJAMIM CONSTANT,0.245,0.263,62.099,42.024,43.905,43.974,119.560,119.754,149.236,149.702
